president names,schools
"pres.—mother frances danz. dean—mother aimée rossi. treas.—mother suzanne de leon. reg.—mother mariella bremner. lib.—mother genevieve clarke. graduate—mother margaret reilly. san diego junior college, san diego (w; c; coed; sem; ic; 4,144). dir.—walter l. thatcher. lib.— warren c. heyer. dean of students—margaret d. olson. extended day—robert hamilton. ","dean—bro. u. cassian. bus. mgr.—august he. zipse. asst. dean—thomas j. twomey. lib.—wm. p. macaskill. dir. of resident students—bro. ralph cronan. st. patrick’s seminary, menlo park (w; rc; men; sem; iij; 245). pres.—edward j. wagner. dean—edward p. cronan. compt.—raymond j. maher. reg.—c. b. van steenbergen. lib.—edward a. connolly. theology— ——-———_—-. st. joseph’s college, mountain view— james t. campbell. san benito college, hollister (w; dist; coed; sem; ic; 119). dir.—ralph schroder. san bernardino valley college, san bernardino (w; dist; coed; sem; ie; 8,039). pres.—herman j. sheffield. vice pres. (instr.)—j. w. mcdaniel. vice pres. (bus.)—r. e. ellerman. lib.—edna storr grosché. "
"pres.—maleolm a. love. dean of the college—donald r. wat- son. compt.—selwyn c. hartigan. dean of admis.—melvin a. anderson. lib.—john paul stone. dean of students—herbert c. peiffer, jr. graduate—maurice m. lemme. summer session—manfred h. schrupp. ","san diego state college, san diego 15 (w, bus, chem, ted; st; coed; sem; iiie; 10,850). "
pres.—mother catherine parks. ,francisco 18 (w; rc; wo; sem; iile; 507). 
pres.—glenn s. dumke. ,"san francisco state college, san fran- cisco 2 (w, chem, ted; st; coed; sem; iiif; 17,638). "
pres.—theodore a. gill. ,"san francisco theological seminary, san anselmo (rel, theol; presb; coed; qr; ivg; 239). "
"ted; st; coed; sem; iiif; 14,168). pres.—john t. wahlquist. dean of college—john w. gilbaugh. bus. mgr.—edward s. thompson. reg.—john c. montgomery. admis. off.—ralph r. cummings. ","shire. san jose state college, san jose (w, chem, eng, jour, mus, nur, ot, "
(w; rc; men; sem; iib; 97). pres.-dean of studies—carroll f. tageson. reg.—geoffrey g. bridges. ,"san luis rey college, san luis rey "
"dist; coed; sem; ic; 2,663). pres.—john e. johnson. dean of instr.—o. carl schulz. bus. mgr.—harold yost. admis.-rec.—george w. herron. lib.—ruth bradley. dean of students—thomas trawick. summer session and _ extended day—kenneth n. griffin. ","santa ana college, santa ana (w; "
pres.—joseph p. cosand. ,"santa barbara city college, santa barbara (w; dist; coed; sem; form 173). "
pres.—wade f. thomas. ,"santa monica (w; c; coed; sem; ie; 8,028). "
"(w; dist; coed; sem; ic; 1,689). pres.—randolph newman. bus. off.—george bech. reg.—louise hallberg. lib.—avis stopple. dean of students—chester beck. dean of wo.— margaret trussell. adult ed.—eugene j. portugal. summer session—brook tauzer. ","santa rosa junior college, santa rosa "
pres.—f rederick hard. ,sem; iib; 257). 
pres.—g. a. collyer. ,redding (w; dist; coed ; sem; if; 751). 
pres.—burke w. bradley. ,"coed; sem; ic; 2,655). "
,"university of california, berkeley 4 "
pres.—george h. armacost. ,"chem, mus; bapt; coed; sem; iiij; 1,469). "
,"university of san diego, college for "
,"university of san francisco, san fran- "
,"university of santa clara, santa clara (w, bus, chem, eng, law; rc; men; "
,sem; ivk; 
coed; sem; iie; 213). pres.—john z. martin. dean—ernest l. boyer. ,"summer session—paul e. hadley. upland college, 792 w. arrow high- way, upland (w; breth in christ; "
"sei; ie; 1,680). pres.—cecil a. mcdonald. admis.-ree.—helen fawcett. lib.—alene m. parker. ","vallejo junior college, whitney at mini drive, vallejo (w ; dist; coed; "
"coed; sem; ic; 3,658). pres.—edward h. rowins. dean of instr.—phil powers. bus. mgr.—r. j. raitt. ","dean of students—william h. wilson. ventura college, ventura (w; dist; "
,western baptist bible college and 
pres.—roger j. voskuyl. ,santa barbara (w; p; coed; sem; iie; 455). 
"coed; sem; iiie; 1,562). pres.—paul s. smith. dean—h. f. spencer. ","whittier” college, whittier (w; p; "
,"yuba college, marysville (w; co; coed; "
"st; coed; qr; iiif; 1,451). pres.—f red plachy. ","adams state college, alamosa (n, ted; "
pres.—louis t. benezet. ,"college, colorado springs (n, chem, mus; p; coed; sem; ppte: 1n262). "
pres.—john w. vanderwilt. ,"(n, eng; st; men; sem; ivg; 1,080). "
pres.—william robert ross. ,"colorado state college, greeley (n, ted; st; coed; qr; ivd; 4,398). "
pres.—william b. morgan. ,"(n, chem, eng., for, ot, vet; st; coed; ar; ivk; 5,977). "
"(n; a bapt; wo; sem; if;°® 548). pres.—eugene e. dawson. dean of faculty—norman dodge. bus. mgr.—lee r. moe. dir., admis.-rec.—p. c. nicholson. reg.—margaret j. sikes. lib.—alice spengler. dean of students—vera e. johnson. ","colorado woman’s college, denver 20 "
,conservative baptist theological sem- 
"cal college, p. o. box 1104, du- rango (n; st; coed; sem; if; 401). pres.—charles dale rea. dean of faculty—randall d. tayldr. bus. mgr.—daniel e. black. reg.—charles h. reid, jr. lib.—ralph lewis. dean of students—edwin w. wal- ",fort lewis agricultural and mechani- 
junction (n; c; coed; qr; ic; 885). pres.—horace j. wubben. reg.—lowell heiny. ,"mesa county junior college, grand "
"(—; co; coed; qr; if; 286). pres.—ervin 8s. french. bus. mgr.—zane r. hays. reg.—lois meyer. dean of men—rodney anderson. dean of wo.—dorothy corsberg. adult ed.—car] collins. otero junior college, la junta (—; dist ; coed; gr; ic; 327). pres.—wnm. l. mcdivitt. bus. mgr.—geo. a. schulenburg. dir. admis.-reec.—f. dean lillie. summer session—claude c. brown. pueblo junior college, pueblo (n; co; coed; qr; if; 1,467). pres.—marvin c. knudson. dean instr.—harold a. hoeglund. bursar—glen e. allen. reg.-admis.—alfred f. kurtin. lib.—ann l. binfield. dir. student pers.—horace m. par- dun. dean of wo.—katharine mcintyre. adult ed.—carl g. duncan. ","northeastern junior college, sterling] university of colorado, boulder (n, "
men; sem; iie; 981). pres.—richard f. ryan. dean—harry e. hoewischer. treas.—william h. houser. reg.—john j. gibbons. lib.—charles f. kruger. ,"regis college, denver 21 (n; rc; "
pres.—john j. danagher. dean-reg.—jules g. yallaly. treas.—joseph f. wagner. ,"st. thomas theological seminary, 1300 south steele st., denver (—; rc; men; sem; iiij; 287). "
pres.—guy c. davis. ,"trinidad state junior college, trini- dad (—; c; coed; qr; if; 420). "
pres.—quigg newton. ,"bus, chem, eng, jour, law, med, mt, mus, nur, phar, pt, fted; st; coed; sem; ivk; 16, 162). "
pres.—grant venn. ,"western state college of colorado, gunnison (n, ted; st; coed; qr; ile; 1,402). "
pres.—sister marie louise hubert. ,"albertus magnus college, new haven 11 (e; rc; wo; sem; ile; 290). "
pres.-treas.—mother claire helen. ,"annhurst college, putnam (ei; rc; wo; sem; iie; 205). "
pres.—arthur ke. keating. ,"bridgeport engineering institute, 240 fairfield ave., bridgeport 3 (—;3 p; coed; ig; term; * 306). "
pres.—herbert d. welte. ,"central connecticut state college, new britain (ek, ted; st; coed; sem; iiid; 2,869). "
pres.—rosemary park. ,"connecticut college, new london (e; p; wo; sem; iiib; 988). "
pres.—ruth a. haas. ,ted; st; coed; sem; iiid; 910). 
"men; sem; iiie; 1,717). pres.—james e. fitzgerald. dean—william j. healy. treas.—harry l. huss. ","fairfield university, fairfield (e; rc; "
hartford 5 (—; p; wo; sem; ic; 92). pres.—laura a. johnson. compt.—elizabeth s. hogg. dir. of admis.—christine r. lyman. ,"hartford college, 1265 asylum ave., "
"ford 5 (rel, theol; coed; sem; ivg; 156). pres.—james n. gettemy. seec.—willard t. carter. lib.—dikran y. hadidian. dean of students—mcrs. lane. hartford theological seminary— harvey k. mcarthur, hartford school of religious edu- cation—walter houston clark. kennedy school of missions— robert t. parsons. institute of church and commu- nity—peter l. berger. ","hartford seminary foundation, hart- "
pres.-bus. off.—mrs. wesley e. morse. reg.—gertrude m. lamson. ,"morse college, inc., 183 ann street, hartford 3 (jeb; prop; coed; sem; la zoo). "
"p; coed; sem; ili; 1,112). pres.—marvin k. peterson. dean—allen c. hutchinson. ","new haven college, new haven 11 (e.; "
,"post junior college, 24 central ave., waterbury 2 (jcb; prop; coed; sem; ia; 144). "
pres.—nils g. sahlin. ,"quinnipiac college, hamden 17 (e; p; coed; sem; iic; 1,189). "
(e; rc; wo; qr; iile; 631). pres.—sister m. theodore. dean—nsister m. consolata. bursar—nsister m. joseph mark. reg.—nsister m. evelyn. lib.—sister marie celine. ,"st. joseph college, west hartford 17 "
"pres. ar ohn byrnes, dean-reg.—francis a. fries. treas.—joseph degnan. ","st. thomas seminary, bloomfield (e; rc; men; sem; ib; 120). "
"wo; sem; iie; 94). pres.—mother patrick. dean—mother mary lawrence. bursar—sister mary francis, reg.-admis. off.—mother marie mad- ","field road, litchfield (—;3 "
pres.—hilton c. buley. ,"southern connecticut state college, new haven 15 (eh, ted; st; coed; sem; iiie; 2,987). "
pres.—albert c. jacobs. ,"trinity college, hartford 6 (e, chem; p; men; sem; iiib; 1,884). "
,pres.—albert c. jacobs. 
pres.—james h. halsey. ,"university of bridgeport, bridgeport 4 (bh, dh, nur; p; coed; sem; iiik; 4,666). "
,pres.—james h. halsey. 
pres.—albert n. jorgensen. ,"university of connecticut, storrs (h, bus, chem, eng, law, nur, phar, pt, sw, ted; st; coed; sem; ivk; 10,643). "
,prov.—albert e. waugh. 
,social work (hartford )—harleigh b. trecker. 
pres.—victor l. butterfield. ,chem; p; men; sem; iiie; 881). 
,exec. vice pres.—john w. macy. 
"(ee, ted; st; coed; sem; iiid; 577). pres.—j. eugene smith. bus. off.—hermann beckert. reg.-dean of wo.—elizabeth hood. lib.—helen c. sill. summer session—julia h. bart- man. ","willimantic state college, willimantic "
pres.—a. whitney griswold. ,"ph, theol; p; undergraduate schools, men only; sem; ivk; 7,868). "
st; coed; sem; ile; 356). pres.— ‘ dean—r. c. henderson. ,"delaware state college, dover (m; "
