president names,schools
president rev. paul c. reinert ,saint louis inst of music 
president  rev. paul c. reinert ,saint lovis u central off 
presioent sr. rose agne ,*snt lu. u pk c aeron techn 
president rev. cari ,saint mary's sem-college 
president   obese  won , saint paul's college 
dr. don ,snt paul sch of theology 
vice pres for administration  dr. william d. todd ,
president  duane g. meyer ,southeast mo st college 
president   james a. glasgow ,deen of students wher a rogers 
president calvin b. rock ,oakwood college 
president bomic e. loe si ,
president  rev gregory j. roettger st ,saint bernard college 
president  leslie s. wright,#NAME?
simone .n.le c. cleveland ,alma university 
simone oo  ol met b. mccein ,nead state jr college 
president fred e. davis ,hestn bible college 
president s. seymour a. smith ,stephens college l 
president dr. elden e. breazier g ,tarkio college re 
president  dr. h. tudor westover i ,
vice pres for administration dr. a g. unkleshay ,trenton junior college 
,u of mistourl-columbia _ 
chancellor see  james c. ol ,
chancellor    meri bal ,*u of missouri-rolla 
glen r. driscoll ,doon collage arts ond scheme  there q. full 
,washington university 
,
president robert & d. davidson ,westminster college 
president dr. thomas s. field ,william jewell college 
assistant to the president mr. william d. pennington ,william woods college - 
president  rev. joseph d. harrington ,carroll college 
president dr. e. mitton grassell ,college of great falls 
president  james hoffman ,dawson college 
president dr. nathaniel p. tillman jr. ,eastern montana college ms 
president  dr. virginia r. keehan ,*city c chicago sthwst c 
president mr. emest v. clements ,*city c chicago wright cam 
president dr. rodney berg ,college of dupage 
president  dr. richard g. erzen n ,college of lake county  
president  dr. francis j. kerins  ,college of saint francis y 
president  mr. mirron alexandroff ,columbia college 
president scnes  stanley j. heywood ,
president dr. larry j. blake ,flathead viy cmty college 
president mr. vernon r. kailey ,miles community college 
acting president & dean acad aff kenneth n. mcleod ,
president dr. cari w. mcintosh   as ,ms montana state university 
president  dr. joseph r. crowley ,northern montana college l 
president lawrence f. small ,rocky mountain college  
president me. robert t. pantzer ,university of montana 
president   dr. james e. short ,western montana college 
president  mr. richard d. winchell ,
president dr. charles 1. gausman ,central nebr tech college 
president edwin c. nelson \ ,chadron state college 3 
president  sr. m. angelica costello ,college of saint mary 
president theopti! lonzow ,
president   sed rev. joseph ,creighton university 
president dr. eart r. ,dana college 
president  philip he ,deane college 
president ivan r. simpson ,fairbury junior college 
president dr. robert w. benton ,grace bible institute 
president dr. theron b. maxson ,hastings college l 
president  theodore e. dillow ,john f kennedy college l 
president dr. mitton j. hassel ny ,kearney state college os 
suuperintendent  dr. john prasch n ,lincoln technical college de 
president  dr. m. l potter ,mccook college 
president  l d. lund n ,midland lutheran college 
 vance d. rogers ,lebr wesleyan university 
president dr. william g. haseme ,ebraska westem college 
president dr. neal s. gon ,
president dr. donald l. news ,
chancellor  cecil l. wittson ,platte viy bible college  oo 
interim chancellor  dr. james v. blackwell ,tty of nebraska at omaha 
president  dr. william a. brandenburg ,wayne state college 
president dale r. larsen ,york college 
president dr. friedrich von brincken i ,sierra nevada college 
president dr. roman j. zom ,u of nevada system office l 
president dr. n edd miller ,*y of nevada reno a 
executive vice president  dr. r. s. nic! ,*clark co cmty college* 
executive vice president u. oe mr. elmer l. ,*elke- community college 
executive vice president  me leon ven ,*westem nev cmty college* 
president dr. wiliam k widger jr. ,l i beiknap college ee 
executive vice president dr. george l. marcoulier ,canaan college 
president everett m. woodman ,colby jr college women _ 
president zen me. l. ray jones hig ,
dean of the college dr. charles j. boyle presid ,spring hill college treas 
president  dr. harold n. stinson librari ,stillman college tele 
president  dr. herman h. long coul ,
mr. robert m. paul ,
james bailey jr. ,state u montgomery 
president mr. leon botstein ,egee institute 
president  dr. frank s. dipietro ,franklin pierce college l 
president  sr. mary v. fulham ,mount saint mary college 
president dr. kenneth f. mclaughlin l ,
director s. gen. harrison r. thyng x ,new eng aeronautical inst l 
,new england college an 
president edward m. shapiro ,new hampshire college _—_. 
director dr. george m. ,nh technical inst concord 
president sr. jeannette l ,l notre dame college 
president sr. gloria a. li ,rivier college 
president rev. placidus h. riley ,saint anselm's college 
president  dr. thomas wn. bonner ,u of nh system office 
president  leo f. redfem ,*u of nh keene st college 
president   martin l. hoehne ,concordia tehrs college 
president  dr. richard j. schu! ,concordia theological sem 
president   miss mary mill ,danville junior college 
president  of. mary canisia ,l delourdes college 
president  rev john r. cortelyou ,depaul university 
president george p. doherty ,
president  dr. gilbert c. fite ,eastern il! university 
president  harold e. hyde ,*yy nh plymouth st college 
president   dr. faith preston ,white pines college l 
presidentlary l. ,alphonsus college - dec 
dean & president of facuttios abbi shneur ,
president dr. merle f. allst ,bloomfield college 
president   dr. ervin l harts ,
president  dr. n. dean evans ,burlington county college 
president  sr. anne john ,caldwell college 
dr. otto r. mauke ,camden county college 
president dt eward w. seay ,centenary college women l 
,c med & dent of nj newark 
,college of snt elizabeth  
president  witton 1 sample ,county college of morris l 
,don bosco college 
president sr. m. madeleine crotty ,englewood cliffs college 
president  mr. j. hany smith ,essex county college 
president dr. j. osbom fuller ,fairleigh dcksn u cen off 
dean of the college dr. raymond ¢ c. lewin ,*forigh deksn u edw wms c 
campus provost dr. james v. griffo ,*farigh deksn madison cam 
campus provost  dr. samuel beiber ,*farigh ocksn teaneck cam  
president  sr. justitia m. lawniczsk ,felician college 
president   sr. m. stephanie sloyan ,georgian court college 
president   dr. mark m. chamberlain ,glassboro state college 
president dr. william l. apetz ,gloucester county college 
msgr. william &. hogan ,
president james h. mullen ,jersey city state college 
mrs. helen m. cole ,
president rev. philip worthington ,luther college 
president dr. richard k. greenfield ,mercer co cmty college 
president  frank m. chambers ,middlesex county college 
president dr. richard j. stonesifer ,monmouth college l 
president  dr. nathan weiss ,ontclair state college 
interim president  lester j. kuyper ,new brunswick theol sem 
president   dr. chartes w. anderson ,nthestn col bible inst 
president  dr. andrew s. moreland ,ocean county college 
president mr. george t. potter ,ssaic co cmty college* 
president mr. richard e. bjork ,richard stockton state c* 
president  dr. frank wn. elliott ,rider college 
dean  dr. james e. young ,rutgers the st u cen off 
vice president  mr. malcolm talbott ,*rutgers u newark campus 
president  dr. edward j. bloustein ,*rutgers u new brunswick 
president  dr. l. h. foster ,
president   dr. joseph f. volker ,
president dr. benjamin 8. graves ,
president dr. f. david mathews ,u of alabama tuscaloosa 
president   dr. kermit a. johnson ,university of montevallo 
president  rev justinian manning dea ,
president  rev. victor r. yanitelli a ,saint peters college se 
president  mother ida grasso dire ,salesian college p 
acting president  rev. thomas g. fahy pres ,seton hall university an -. vo 
president  gilbert l. renner ,merset county college so 
president   dr. ivan frick ,elmhurst college 
president   dr. ira w. langston ,eureka college 
president wayne k. clymer ,evangelical theol sem 
president and dean   sr. mary bonita ,felician college 
president   dr. merlyn w. northfelt ,garrett biblical inst _ 
president   dr. richard e. hamlin f ,george williams college _ 
president  dr. fredesick p. whiddon ,
president  david j. rowland ,walker college 
,
,
president director  dr. james l sim ,
president director  mr. louis j. l ,*u of alaska sitka cc 
president john w. sen ,arizona state university 
presldemt   dr. george l ,arizona western college 
president  dr. don p. pence ,central arizona college 
president  dr. john r. edwards sy. ,cochise college. 
presidentr. dean a. curtis ,eastern arizona college 
preshdent  dr. arthur k. tyson ,
exec dean & district vice pres  dr. matt d. henhila ,maricopa co jc sys office 
exec dean-district vice pres  mr. norbert l. bruemmer ,*maricopa tech college 
exec dean & district vice pres ou  dr. john d. riggs ,*mesa community college 
exec dean & district vice pres dr. william e. berry  ,*phoenix college 
exec dean & dist vice pres.  dr. marion g. donaldson it ,
president  dr. ned a hathathi,
exec vice pres & provost  dr. virgil w. gilenwater,northern ariz university a l 
president   dr. kenneth harper,pima college l 
president john j. dougherty ,prescott college i 
president   dr. charles w. voris ,
,
president dr. john w. bames ,
 dr. lawrence a. davis ,agri mech normal college 
president  dr. j. c. oliver des ,arkansas baptist college 
president dr. r. w. wygle c ,arkansas college dea 
president dr. george t b. pratt c ,arkansas poly college a 
president dr. emmett smith ,
president dr. clifton l. ganus ,harding college cen off 
dr. w. 8. west jr. ,*harding grad sch religion l 
president dr. martin 6. garrison ,henderson state college 
president dr. roy b. shilling jr. ,hendrix college 
,john brown university 
president dr. daniel r. grant i ,ouachita bapt university l _ 
president john w. easley direct ,phillips co cmty college on 
president  dr. lonnie johnson fay ,shorter college direct 
,southern baptist college fay 
chancellor dr. carey v. stabler ,thern state college 
vice pres for health sciences dr. james l dennis ,*u of arkansas medical cte 
,*u of arkansas-monticelle 
president mr. shelby breedlove ,westark junior college 
president and superintendent   mr. walter a conrad ,allan hancock college 
president  dr. c. adrian l ,
vice president donald f. ti ,*amer bapt sem west-covina 
president and superintendent  william n. keg ,antelope valley college 
assistant to the president  mr. george r. boar ,armstrong college 
president and director don kubly ,art ctr college of design 
president  cornelius p. haggard ,uate «© azusa pacific college 
president  soccer  bunis l finlinson ,bakersfield college 
superimtendent y donsid l. white ,barstow college 
president dr. william €. engb ,l bethany bible college 
president eeesee orley r. her ,greenville college 
,hebrew theol college 
president kenneth €. borland ,highland cmty college l 
president  rev. donald w. kucera ,lll benedictine college 
president dr. kenneth l. edwards ,itlinois central college 
president dr. l vernon caine ,illinois college 
president dr. cordas c. burnett ,
president  dr. j. richard chase ,biola college 
president  ernest h. brooks ,brooks inst santa barbara 
superintendent and president dr. albert a. schlueter. ,butte college 
supperintendent and president  dr. robert e. swenson ,nbrillo college 
 dr. james r. staples ,al baptist college 
,al college arts & crafts 
mr. john r. howard ,al college podiatric med 
interim president rev. william a. poehler ,cal concordia college 
president robert w. corrigan ,california inst of arts l 
president    dr. harold brown ,cal inst of technology 
acting president maurice h. knutson ,cal lutheran college  
president and dean dr. nicholas a. cummings ,
dr. s. don schultz ,
assistant dean dr. arthur l. kovacs ,
president dr. paul f. romberg ,cal st college system off 
president  dr. leo f. cain ,
vice pres for academic affairs miles d. mccarthy ,cal st college fullerton 
vice pres for academic affairs  maurice e. dance ,cal st college hayward 
president  stephen horn ,cal st college long beach oo ne 
presidenr john a. greenlee ,*cal st college los ang 
president   dr. john m. pfau ,*cal state c sn bernardino 
president dr. robert c. kramer ,*cal state poly c pomona 
president dr. robert €. kennedy ‘ ,*cal state poly sn luis ob l  
assistant to the president   dr. blythe ahistrom ,*chico state college l l 
president  dr. norman a. bax ,*fresno state college 
president  dr. comelius h. sieme ,*humboldt state college 
president  dr. berard l. hyink ,“sacramento state college 
president  dr. malcolm a. love ,*san diego state college 
president dr. james cleary ,
president  dr. samuel §. hayakawa ,*san francisco st college 
president  dr. john h. bunzel ,*san jose state college 
,sonoma state college ‘y 
vice pres for academic affairs dr. willam j. mason ,stanislaus state college t 
president siegfried c. ringwald ,
president dr. reed l. buffington ,chabot college 
superintendent & president  dr. t. stanley warburton ,chaffey college 
president donald c. kleckner ,chapman college 
president alumni association rev hal r. gross ,church div sch of pacific 
president and superintendent  dr. robert d. haugh ,citrus college 
presidentsuperintendent  dr. louis f. batmate ,city college sn francisco 
president   dr. bamaby c. keeney ,claremont college sys off 
president  mr. jack l. stark ,*claremont men‘s college 
president    joseph b. platt ,*harvey mudd college 
president mr. robert h. atwell ,*pitzer college 
president   dr. david alexander ,*pomona college 
president dr. mark h. curtis ,*scripps college 
president  toes eugene w. smith ,cogswell poly college 
superintendent and president  dr. robert c. rockwell ,college of the canyons 
superintendent and president   dr. roy c. mccall ,college of the desert 
president sr. mary ambrose devereux ,college of the holy names 
superintendent and president  john a. grasham ,college of marin 
sr. catharine j. cunningham ,college of notre dame 
president and superintendent  eugene j. portugal 3 ,college of the redwoods 4 
president and superintendent dr. an c. crookshanks a ,~ollege of the sequoias 4 
president   dr. eugene w. strawn ,college of the siskiyous
president dr. philip r. brachman ,itt college podiatric med 
president  dr. joseph c. piland ,tlt eastern jc system © otf 
president mr. gail l. lathrop ,*iil estn jc olney cen c - 
president dr. johin l. cox ,*iii estn jc wabash viy c 
president  dr. john t. rettaliata ,itlinois inst technology 
president  dr. david k. berto ,_ iminois state university 
president eugene schumacher ,
president  dr. harvey b. rhodes ,columbia junior college 
president  dr. abel b. sykes jr. ,compton college 
president   dr. robert l. wynne ,contra costa jc sys off* 
president  dr. william p. niland ,*diablo valley college 
president superintendent  merlin e. eisenbise ,cuesta college 
president   omar scheidt ,cypress college 
director and dean  randall c. reid ,deep springs college 
executive director mr. jose de la isla ,
president dr. m. samuel conlan ,dominican c of san rafael 
president rev. thomas j. prendrvi ,don bosco technical inst 
president  dr. david a. hubbard o ,othill jc system office 
president dr. john w. casey o ,fullerton junior college 
president and superintendent dr. r. schroder d ,gavilan college 
president john t. mecuen vi ,glendale college 
harold k. graves  ,soldn gate bapt theo! sem bs 
vice pres special programs dr. charles j. marsh 4 ,solden gate college f 
dr. john dillenberger  ,sraduate theol union i 
mr. e. f. metzgar ,srossmont college  
superintendent and president dr. gibb r. madsen ,hartnell college 
director mr. thomas d. murray ,heald engr college 
president john r. humphreys ,humphreys college 
vice president mary mark zeyen ,immaculate heart college 
president  terrel spencer ,imperial valley college 
president father richard a. hill ,
president r obert theiler ,lassen college l 
president  dr. leland 8 newcomer ,la veme college 
president dr. t. kong lee ,lincoln university 
president dr. david j. bleber ,loma linda university 
president dt  sr. gertrude 4. patch ,lone mountain college 
vice pres for acad affairs  mr. william g. millington ,long beach city college 
president dr. john r. dunkin ,los ang bapt c-theol sem 
 dr. charles a abel ,los ang college optometry 
president  john k. we ,
president  dr. louis kaufm ,*los angeles city college 
president  wendell c. ble ,*tos ang harbor college 
president sevens dr. john r. nick ,*los ang pierce college 
president dr. leadie m. clark ,*los ang southwest college 
presidento. fred j. brinkman ,ner *los ang tr tech college 
president dr. robert e. horton ,17 *los ang valley college 
president dr. morris j. heldman ,“west los angeles college 
president  noses ed kenneth d. boettcher ,los rios jc system off 
president mr. oliver j. durand ,*cosumnes river college 
president dr. samuel m. kipp ,*sacramento city college 
president  rev. donald p. merrifield ,
president sr. a. reymunde mckay ,marymount college 
assistant to the president thomas f. black ,mento college 
vice pres for instruction   me jack ee ¥ ,
president  dr. herma ,miller community college 
president   dr. rob ,mills college 
superintendent-president dr. john as,mira costa college 
president  dr. kenneth n. griffin ,modesto junior college 
president  hon. fulton freeman ,mntrey inst forgn studies 
president george j. faul ,monterey pen college 
president  sr. cecilia l. moore dir ,moorpark college 
president   mrs. marie t. mills ,mount san antonio college l 
president   dr. milo p. johnson  ,oe mount san jacinto college  din 
"president  donald r, smothers dire ",
dr. george w. clark  ,
president for finance  mr. dick spellmeyer ,orthrop inst technology l j 
president rb. eard trobaugh ,ecidental college ae 
president dr. robert s. eckley ,lll wesleyan university 
president mr. erwin george suechting ,inst drafting and techn 
president nathan a. wey ,john a logan college 
dean mr. noble w. lee ,
president  de. marat d. mcaninch ,joliet junior or college 
president harm a. weber ,judson college 
president  dr. john r. samlin ,
